자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간(분),이용거리(M),생년,성별,이용자종류,대여대여소ID,반납대여소ID,자전거구분
SPB-52151,2024-06-30 23:14:17,247,당산역 10번출구 앞,0,2024-06-30 23:21:20,00293,충북 미래관,0,7,943.64,1997,\N,내국인,ST-295,ST-1701,일반자전거
SPB-70074,2024-06-30 23:03:02,1929,고척근린공원 고척도서관 앞,0,2024-06-30 23:21:20,01987,개봉아이파크아파트 앞,0,18,2416.75,2008,M,내국인,ST-676,ST-1522,일반자전거
SPB-45072,2024-06-30 22:59:04,111,상수역 2번출구 앞,0,2024-06-30 23:21:20,00247,당산역 10번출구 앞,0,22,3432.07,2002,F,내국인,ST-15,ST-295,일반자전거
SPB-65787,2024-06-30 21:38:03,623,서울시립대 정문 앞 B,0,2024-06-30 23:21:22,00639,서울시립대 후문,0,103,670.0,1999,\N,내국인,ST-391,ST-406,일반자전거
SPB-33989,2024-06-30 22:53:49,4135,삼성생명 앞,0,2024-06-30 23:21:23,03413,종로플레이스,0,27,5013.94,1985,M,내국인,ST-3258,ST-1810,일반자전거
SPB-57182,2024-06-30 22:16:38,1009,천호역4번출구(현대백화점),0,2024-06-30 23:21:24,01012,천호역효성해링턴타워 앞,0,64,1000.0,1994,\N,내국인,ST-493,ST-496,일반자전거
SPB-54977,2024-06-30 22:19:02,2525,반포쇼핑타운 2동 앞,0,2024-06-30 23:21:24,02219,"고속터미널역 8-1번, 8-2번 출구 사이",0,62,5737.35,1998,M,내국인,ST-1910,ST-750,일반자전거
SPB-56554,2024-06-30 23:07:27,1720,도봉구청 옆(중랑천변),0,2024-06-30 23:21:24,04065,창동역 1번출구 앞,0,13,2000.0,1963,\N,내국인,ST-1136,ST-2726,일반자전거
SPB-59097,2024-06-30 23:06:44,2281,연세사랑병원신관앞,0,2024-06-30 23:21:25,02062,사당새마을금고,0,14,2623.84,1992,\N,내국인,ST-1307,ST-1154,일반자전거
SPB-42630,2024-06-30 22:19:48,553,중곡 성원아파트 앞,0,2024-06-30 23:21:26,00553,중곡 성원아파트 앞,0,61,12968.31,1999,M,내국인,ST-379,ST-379,일반자전거
SPB-32722,2024-06-30 23:10:03,2177,신대방역 2번 출구,0,2024-06-30 23:21:26,02173,당곡사거리,0,11,1375.57,1991,M,내국인,ST-1546,ST-1268,일반자전거
SPB-64456,2024-06-30 23:14:11,1762,북한산 한신휴플러스APT앞,0,2024-06-30 23:21:27,04078,원당공원 앞,0,7,1490.0,\N,M,내국인,ST-2107,ST-2849,일반자전거
SPB-46450,2024-06-30 22:20:18,553,중곡 성원아파트 앞,0,2024-06-30 23:21:29,00553,중곡 성원아파트 앞,0,61,12814.75,2003,F,내국인,ST-379,ST-379,일반자전거
SPB-47035,2024-06-30 23:02:08,3798,그랜드아이파크아파트 앞,0,2024-06-30 23:21:29,03794,안양천합수부(현대3차아파트),0,19,2800.0,1987,M,내국인,ST-2557,ST-2553,일반자전거
SPB-68113,2024-06-30 22:53:22,6053,중부세무서 앞,0,2024-06-30 23:21:30,00828,숙대입구역 8번,0,28,3220.0,2005,M,내국인,ST-3161,ST-1325,일반자전거
SPB-33867,2024-06-30 23:01:58,2620,송파나루역 4번 출구옆,0,2024-06-30 23:21:32,04897,잠실주공5단지1,0,19,2505.0,1996,\N,내국인,ST-1730,ST-2991,일반자전거
SPB-45286,2024-06-30 23:14:52,1569,수유역2번출구,0,2024-06-30 23:21:33,04074,도봉구육아종합지원센터(창동),0,6,1540.0,1997,\N,내국인,ST-2137,ST-2727,일반자전거
SPB-56602,2024-06-30 23:01:58,418,월드컵경기장역 3번출구 옆,0,2024-06-30 23:21:33,04657,본 서부병원 교차로 사거리,0,19,4210.59,1980,M,내국인,ST-89,ST-2775,일반자전거
SPB-60692,2024-06-30 23:15:29,3205,문래현대2차,0,2024-06-30 23:21:33,04561,양평역 1번출구,0,6,815.1,2001,M,내국인,ST-1976,ST-2812,일반자전거
SPB-30881,2024-06-30 23:18:23,4856,올림픽공원 서1문 앞,0,2024-06-30 23:21:34,02621,한성백제역 2번 출구,0,3,0.1,1991,F,내국인,ST-2608,ST-1719,일반자전거
SPB-34820,2024-06-30 22:45:40,240,문래역 4번출구 앞,0,2024-06-30 23:21:35,00240,문래역 4번출구 앞,0,35,3681.91,2002,F,내국인,ST-289,ST-289,일반자전거
SPB-58771,2024-06-30 23:05:34,1251,석촌역 2번출구,0,2024-06-30 23:21:36,01244,문정 법조단지8,0,16,3142.91,1995,\N,내국인,ST-1070,ST-904,일반자전거
SPB-44756,2024-06-30 23:02:08,1688,마들역 7번출구,0,2024-06-30 23:21:37,01762,북한산 한신휴플러스APT앞,0,19,2746.96,2004,F,내국인,ST-1639,ST-2107,일반자전거
SPB-43461,2024-06-30 23:06:36,1775,신원리베르텔 앞,0,2024-06-30 23:21:37,01526,강북종합시장 앞,0,15,2463.21,1961,,내국인,ST-2120,ST-1100,일반자전거
SPB-66437,2024-06-30 22:24:58,4011,월계 센트럴 아이파크,0,2024-06-30 23:21:39,04011,월계 센트럴 아이파크,0,56,3990.0,2004,\N,내국인,ST-2705,ST-2705,일반자전거
SPB-70238,2024-06-30 22:59:57,1117,등촌5단지아파트 버스정류장,0,2024-06-30 23:21:39,01103,방화역 4번출구앞,0,21,4507.7,2006,M,내국인,ST-834,ST-831,일반자전거
SPB-38891,2024-06-30 22:17:40,4027,한내 행복발전소 옆,0,2024-06-30 23:21:41,05318,극동의 푸른별 아파트 뒤(중계4동주민센터 앞),0,64,8645.03,1984,F,내국인,ST-2791,ST-3149,일반자전거
SPB-32468,2024-06-30 23:09:31,2231,삼성타운(삼성생명) A동 맞은편,0,2024-06-30 23:21:41,02297,남부터미널역 1번출구,0,12,1814.68,1996,M,내국인,ST-761,ST-1404,일반자전거
SPB-32873,2024-06-30 22:54:14,1461,동양엔파트 앞,0,2024-06-30 23:21:41,01663,동해문화예술관앞,0,27,4521.1,2000,M,내국인,ST-2282,ST-1280,일반자전거
SPB-54645,2024-06-30 23:17:18,1643,태릉입구역 8번출구,0,2024-06-30 23:21:41,04812,묵동 이마트 앞,0,4,498.87,1996,F,내국인,ST-1111,ST-2635,일반자전거
SPB-39797,2024-06-30 22:21:51,2159,인헌초교,0,2024-06-30 23:21:41,02159,인헌초교,0,59,4198.66,\N,F,내국인,ST-1156,ST-1156,일반자전거
SPB-58483,2024-06-30 23:08:46,536,행당역 2번출구 앞,0,2024-06-30 23:21:41,00586,마장동 주민센터,0,12,2070.0,1993,\N,내국인,ST-248,ST-447,일반자전거
SPB-62783,2024-06-30 23:21:24,3205,문래현대2차,0,2024-06-30 23:21:42,03205,문래현대2차,0,0,0.0,\N,F,내국인,ST-1976,ST-1976,일반자전거
SPB-46901,2024-06-30 23:14:11,4685,DMC역 5번 출구(수색역 방향),0,2024-06-30 23:21:43,00912,응암오거리,0,7,1972.92,2001,\N,내국인,ST-3095,ST-460,일반자전거
SPB-69921,2024-06-30 23:08:18,5858,영등포역5번출구,0,2024-06-30 23:21:43,00230,영등포구청역 1번출구,0,13,1940.0,2005,M,내국인,ST-3142,ST-413,일반자전거
SPB-62290,2024-06-30 21:58:19,106,합정역 7번출구 앞,0,2024-06-30 23:21:43,00787,양천아파트 입구,0,83,14540.0,2000,F,내국인,ST-8,ST-2013,일반자전거
SPB-39392,2024-06-30 21:21:24,982,녹번초등학교(서오릉로),0,2024-06-30 23:21:45,00966,서울혁신파크1,0,120,1149.77,1972,M,내국인,ST-2250,ST-1487,일반자전거
SPB-55181,2024-06-30 23:07:27,1314,정릉꿈에그린1단지 201동 앞,0,2024-06-30 23:21:45,01346,길음8골어린이공원 옆,0,14,1159.71,1966,F,내국인,ST-559,ST-1210,일반자전거
SPB-68609,2024-06-30 23:01:04,1067,한영중고앞사거리,0,2024-06-30 23:21:46,01021,강일동 리슈빌 빌딩앞,0,20,2768.42,1989,F,내국인,ST-1766,ST-504,일반자전거
SPB-34702,2024-06-30 22:24:46,565,옥수역 3번출구,0,2024-06-30 23:21:47,04217,한강공원 망원나들목,0,57,14392.07,1995,\N,내국인,ST-366,ST-2905,일반자전거
SPB-46103,2024-06-30 23:14:30,2177,신대방역 2번 출구,0,2024-06-30 23:21:48,00237,보라매 두산위브 건너편,0,7,1620.0,\N,M,내국인,ST-1546,ST-286,일반자전거
SPB-41924,2024-06-30 23:06:32,770,목동역5번출구 교통정보센터 앞,0,2024-06-30 23:21:48,01988,고척LIGA아파트 앞,0,15,2215.51,\N,\N,내국인,ST-1996,ST-1523,일반자전거
SPB-66590,2024-06-30 23:11:04,2620,송파나루역 4번 출구옆,0,2024-06-30 23:21:50,02651,경찰병원역 3번출구 앞,0,10,2315.17,1995,\N,내국인,ST-1730,ST-1872,일반자전거
SPB-54231,2024-06-30 23:10:55,1719,신도봉사거리 버스정류장,0,2024-06-30 23:21:52,01630,수연빌딩 앞,0,10,1554.25,1998,\N,내국인,ST-1135,ST-869,일반자전거
SPB-70107,2024-06-30 23:08:15,536,행당역 2번출구 앞,0,2024-06-30 23:21:52,00586,마장동 주민센터,0,13,2096.48,1990,M,내국인,ST-248,ST-447,일반자전거
SPB-57709,2024-06-30 23:09:39,4540,목동역 3번 출구,0,2024-06-30 23:21:56,00755,목동1단지아파트 상가 앞,0,12,4670.0,2004,M,내국인,ST-3104,ST-1496,일반자전거
SPB-61619,2024-06-30 23:16:51,3571,화양 APT(횡단보도 옆),0,2024-06-30 23:21:57,00516,광진메디칼 앞,0,5,611.82,\N,F,내국인,ST-2310,ST-114,일반자전거
SPB-67412,2024-06-30 23:16:37,1447,면목역 3번출구,0,2024-06-30 23:21:57,01440,면목2동 사거리,0,5,715.59,1989,\N,내국인,ST-1098,ST-942,일반자전거
SPB-64036,2024-06-30 23:03:42,254,도림신협 앞,0,2024-06-30 23:21:58,04558,대영중고 후문,0,18,1760.0,1967,M,내국인,ST-302,ST-2809,일반자전거
SPB-53512,2024-06-30 22:56:50,1019,다성이즈빌아파트(호원대 대각선 맞은편),0,2024-06-30 23:21:58,02622,올림픽공원역 3번출구,0,25,1710.0,1999,M,내국인,ST-502,ST-1720,일반자전거
SPB-54819,2024-06-30 22:06:39,4540,목동역 3번 출구,0,2024-06-30 23:21:58,04540,목동역 3번 출구,0,75,0.0,\N,\N,내국인,ST-3104,ST-3104,일반자전거
SPB-63370,2024-06-30 22:15:32,1011,LIGA 아파트 앞,0,2024-06-30 23:21:58,01207,마천중앙시장,0,66,5300.0,1981,F,내국인,ST-495,ST-738,일반자전거
SPB-61448,2024-06-30 23:15:46,229,양평1 보행육교 앞,0,2024-06-30 23:21:58,00245,삼성생명 당산사옥 앞,0,6,1043.93,1995,M,내국인,ST-279,ST-294,일반자전거
SPB-67827,2024-06-30 23:12:10,601,용신동주민센터,0,2024-06-30 23:22:00,00557,도선동 주민센터 앞,0,9,1750.0,1973,M,내국인,ST-261,ST-358,일반자전거
